scientificname (RAM),commonname1 (RAM),FisheryType,taxgroup,ISSCAAP name
Sebastolobus altivelis,Longspine thornyhead,Rockfish,sebastids,Miscellaneous demersal fishes
Sebastolobus macrochir,Broadbanded thornyhead,Rockfish,sebastids,Miscellaneous demersal fishes
Sepia spp,Cuttlefish,Invertebrate,cephalopods,"Squids, cuttlefishes, octopuses"
Seriola dumerili,Greater amberjack,Other Marine,carangids-mackerels,Miscellaneous pelagic fishes
Seriola quinqueradiata,Japanese amberjack,Other Marine,carangids-mackerels,Miscellaneous pelagic fishes
Seriolella brama,whario,Other Marine,other marine fish,Miscellaneous demersal fishes
Seriolella punctata,Silverfish,Other Marine,other marine fish,Miscellaneous demersal fishes
Sillago flindersi,School whiting,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Solea solea,Common sole,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Solea vulgaris,common European sole,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Sparus aurata,Gilthead seabream,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Sphyrna lewini,Scalloped hammerhead,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Sphyrna tiburo,Bonnethead shark,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Spicara smaris,Picarel,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Spisula solidissima,Atlantic surfclam,Invertebrate,bivalves-gastropods,"Clams, cockles, arkshells"
Sprattus fuegensis,Southern sardine,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Sprattus sprattus,Sprat,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Squalus acanthias,Spiny dogfish,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Squalus suckleyi,Spotted spiny dogfish,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Squilla mantis,Spottail mantis shrimp,Invertebrate,other invertebrates,Miscellaneous marine crustaceans
Stenotomus chrysops,Scup,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Strangomera bentincki,Araucanian herring,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Strongylocentrotus droebachiensis,Green sea urchin,Invertebrate,echinoderms,Sea-urchins and other echinoderms
Takifugu rubripes,Japanese pufferfish,Other Marine,other marine fish,Miscellaneous coastal fishes
Tanakius kitaharae,Willowy flounder,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Tetrapturus albidus,White Marlin,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
Thaleichthys pacificus,Eulachon,Forage Fish,forage fish,"Salmons, trouts, smelts"
Thamnaconus modestus,Black scraper,Other Marine,other marine fish,Miscellaneous coastal fishes
Theragra chalcogramma,Walleye pollock,Gadids,gadids,"Cods, hakes, haddocks"
Thunnus alalunga,Albacore tuna,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
Thunnus albacares,Yellowfin tuna,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
Thunnus maccoyii,Southern bluefin tuna,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
Thunnus obesus,Bigeye tuna,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
Thunnus orientalis,Pacific bluefin tuna,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
