scientificname (RAM),commonname1 (RAM),FisheryType,taxgroup,ISSCAAP name
Merluccius capensis,Shallow-water cape hake,Gadids,gadids,"Cods, hakes, haddocks"
Merluccius gayi,South Pacific Hake,Gadids,gadids,"Cods, hakes, haddocks"
Merluccius hubbsi,Argentine hake,Gadids,gadids,"Cods, hakes, haddocks"
Merluccius merluccius,Hake,Gadids,gadids,"Cods, hakes, haddocks"
Merluccius paradoxus,Deep-water cape hake,Gadids,gadids,"Cods, hakes, haddocks"
Merluccius polli,Benguela hake,Gadids,gadids,"Cods, hakes, haddocks"
Merluccius productus,Pacific hake,Gadids,gadids,"Cods, hakes, haddocks"
Metanephrops challengeri,Scampi,Invertebrate,crabs-lobsters,"Lobsters, spiny-rock lobsters"
Micromesistius australis,Southern blue whiting,Gadids,gadids,"Cods, hakes, haddocks"
Micromesistius poutassou,Blue whiting,Gadids,gadids,"Cods, hakes, haddocks"
Micropogonias undulatus,Atlantic croaker,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Microstomus pacificus,Dover sole,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Molva dypterygia,Blue ling,Gadids,gadids,"Cods, hakes, haddocks"
Molva molva,Ling,Gadids,gadids,"Cods, hakes, haddocks"
Morone saxatilis,Striped bass,Other Marine,other marine percoidids,Miscellaneous diadromous fishes
Mugil cephalus,Sea mullet,Other Marine,other marine fish,Miscellaneous coastal fishes
Mullus barbatus,Red mullet,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Mullus surmuletus,Surmullet,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Mustelus canis,Smooth dogfish,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Mya arenaria,Softshell clam ,Invertebrate,bivalves-gastropods,"Clams, cockles, arkshells"
Mycteroperca bonaci,Black grouper,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Mycteroperca microlepis,Gag,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Nemadactylus macropterus,Hawaiian morwong,Other Marine,other marine percoidids,Miscellaneous demersal fishes
Neoplatycephalus richardsoni,Tiger flathead,Other Marine,other scorpaenids,Miscellaneous coastal fishes
Nephrops norvegicus,Norway lobster,Invertebrate,crabs-lobsters,"Lobsters, spiny-rock lobsters"
Octopus vulgaris,Octopus,Invertebrate,cephalopods,"Squids, cuttlefishes, octopuses"
Ocyurus chrysurus,Yellowtail snapper,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Oncorhynchus gorbuscha,Pink salmon,Pacific Salmon,salmonids,"Salmons, trouts, smelts"
Oncorhynchus keta,Chum salmon,Pacific Salmon,salmonids,"Salmons, trouts, smelts"
Oncorhynchus nerka,Sockeye salmon,Pacific Salmon,salmonids,"Salmons, trouts, smelts"
Ophiodon elongatus,Lingcod,Other Marine,other scorpaenids,Miscellaneous coastal fishes
Oratosquilla oratoria,Shako,Invertebrate,other invertebrates,Miscellaneous marine crustaceans
Ostrea chilensis,Dredge oyster,Invertebrate,bivalves-gastropods,Oysters
Pagellus bellottii,Red pandora,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Pagellus bogaraveo,Red seabream,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Pagellus erythrinus,Common pandora,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Pagrus major,Red seabream,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Pagrus pagrus,Common seabream,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Palinurus gilchristi,Southern spiny lobster,Invertebrate,crabs-lobsters,"Lobsters, spiny-rock lobsters"
Pandalopsis dispar,Sidestripe shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Pandalus borealis,Northern shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Pandalus eous,Alaskan pink shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Pandalus montagui,Aesop shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Panopea generosa,Pacific Geoduck,Invertebrate,bivalves-gastropods,"Clams, cockles, arkshells"
Paracaesio caerulea,Japanese snapper,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Paralichthys dentatus,Summer flounder,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Paralichthys olivaceus,Olive flounder,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Paralithodes camtschaticus,Red king crab,Invertebrate,crabs-lobsters,"King crabs, squat-lobsters"
Paralithodes platypus,Blue king crab,Invertebrate,crabs-lobsters,"King crabs, squat-lobsters"
Parapenaeus longirostris,Deep-water rose shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Parophrys vetulus,English sole,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Patinopecten caurinus,Weathervane scallop,Invertebrate,bivalves-gastropods,"Scallops, pectens"
Penaeus esculentus,Brown tiger shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Penaeus semisulcatus,Grooved tiger prawn,Invertebrate,shrimps,"Shrimps, prawns"
Penaeus spp,Coastal shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Peprilus triacanthus,Atlantic butterfish,Other Marine,other marine fish,Miscellaneous pelagic fishes
Phycis blennoides,Greater forkbeard,Gadids,gadids,"Cods, hakes, haddocks"
Placopecten magellanicus,Sea scallop,Invertebrate,bivalves-gastropods,"Scallops, pectens"
Platichthys flesus,European flounder,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Platichthys stellatus,Starry flounder,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Platycephalus conatus,Deepwater flathead,Other Marine,other scorpaenids,Miscellaneous coastal fishes
Pleurogrammus azonus,Okhotsk atka mackerel,Other Marine,other scorpaenids,Miscellaneous coastal fishes
Pleurogrammus monopterygius,Atka mackerel,Other Marine,other scorpaenids,Miscellaneous coastal fishes
Pleuroncodes monodon,Red squat lobster,Invertebrate,crabs-lobsters,"King crabs, squat-lobsters"
Pleuronectes platessa,European Plaice,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Pleuronectes quadrituberculatus,Alaska plaice,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Pollachius pollachius,European pollack,Gadids,gadids,"Cods, hakes, haddocks"
Pollachius virens,Pollock,Gadids,gadids,"Cods, hakes, haddocks"
Pomadasys spp,Grey grunt,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Pomatomus saltatrix,Bluefish,Other Marine,other marine percoidids,Miscellaneous pelagic fishes
Prionace glauca,Blue shark,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Pristipomoides filamentosus,Crimson jobfish,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Pristipomoides sieboldii,Lavender jobfish,Other Marine,other marine percoidids,Miscellaneous coastal fishes
