Region ,Stock ,Latin binomial ,F/Fmsy ,SAR ,FP (%) ,SO (%) 
North California Current ,darkblotched rockfish ,Sebastes crameri ,0.73 ,0.08 ,6.9 ,37.9 
North California Current ,Dover sole ,Microstomus pacificus ,0.13 ,0.08 ,6.9 ,37.9 
North California Current ,English sole ,Parophrys vetulus ,0.09 ,0.08 ,6.9 ,37.9 
North California Current ,greenspotted rockfish ,Sebastes chlorostictus ,0.01 ,0.08 ,6.9 ,26.4 
North California Current ,greenspotted rockfish ,Sebastes chlorostictus ,0.13 ,0.08 ,6.9 ,41.3 
North California Current ,greenstriped rockfish ,Sebastes elongatus ,0.01 ,0.08 ,6.9 ,41.3 
North California Current ,lingcod ,Ophiodon elongatus ,0.25 ,0.08 ,6.9 ,16.8 
North California Current ,lingcod ,Ophiodon elongatus ,0.09 ,0.08 ,6.9 ,31.8 
North California Current ,longspine thornyhead ,Sebastolobus altivelis ,0.29 ,0.08 ,6.9 ,41.3 
North California Current ,Pacific hake ,Merluccius productus ,0.70 ,0.08 ,6.9 ,41.3 
North California Current ,Pacific ocean perch ,Sebastes alutus ,0.31 ,0.08 ,6.9 ,41.3 
North California Current ,petrale sole ,Eopsetta jordani ,1.12 ,0.08 ,6.9 ,41.3 
North California Current ,rex sole ,Glyptocephalus zachirus ,0.26 ,0.08 ,6.9 ,NA 
North California Current ,sablefish ,Anoplopoma fimbria ,0.97 ,0.08 ,6.9 ,41.3 
North California Current ,sharpchin rockfish ,Sebastes zacentrus ,0.01 ,0.08 ,6.9 ,NA 
North California Current ,shortspine thornyhead ,Sebastolobus alascanus ,0.60 ,0.08 ,6.9 ,37.9 
North California Current ,splitnose Rockfish ,Sebastes diploproa ,0.06 ,0.08 ,6.9 ,37.9 
North California Current ,widow rockfish ,Sebastes entomelas ,0.04 ,0.08 ,6.9 ,37.9 
North California Current ,yelloweye rockfish ,Sebastes ruberrimus ,0.32 ,0.08 ,6.9 ,37.9 
North California Current ,yellowtail rockfish ,Sebastes flavidus ,0.20 ,0.08 ,6.9 ,16.1 
Aleutian Islands ,walleye pollock ,Theragra chalcogramma ,0.03 ,0.03 ,2.1 ,31.4 
Gulf of Alaska ,arrowtooth flounder ,Atheresthes stomias ,0.05 ,0.02 ,1.7 ,69.8 
Gulf of Alaska ,dusky rockfish ,Sebastes variabilis ,0.61 ,0.02 ,1.7 ,73.9 
Gulf of Alaska ,flathead sole ,Hippoglossoides elassodon ,0.04 ,0.02 ,1.7 ,73.9 
Gulf of Alaska ,northern rockfish ,Sebastes polyspinis ,0.38 ,0.02 ,1.7 ,71.8 
Gulf of Alaska ,Pacific cod ,Gadus macrocephalus ,0.49 ,0.02 ,1.7 ,76.5 
Gulf of Alaska ,Pacific ocean perch ,Sebastes alutus ,0.47 ,0.02 ,1.7 ,74.6 
Gulf of Alaska ,rex sole ,Glyptocephalus zachirus ,0.68 ,0.02 ,1.7 ,86.1 
Gulf of Alaska ,rougheye rockfish ,Sebastes aleutianus ,0.21 ,0.02 ,1.7 ,75.8 
Gulf of Alaska ,walleye pollock ,Theragra chalcogramma ,0.29 ,0.02 ,1.7 ,68.7 
