Country (Country),Species (ASFIS species),Fishing area (FAO major fishing area),3A,FAO Scientific_name,accepted scientific name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mexico,Yellowleg shrimp,"Pacific, Eastern Central",YPS,Penaeus californiensis,Penaeus californiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6818,7120,8694,7897,7467,8222,11041,10697,18713,20277,27953
Mexico,Marine crabs nei,"Pacific, Eastern Central",CRA,Brachyura,Brachyura,NA,NA,NA,NA,1200,900,1500,2400,700,600,600,600,600,600,400,200,200,300,300,500,100,200,100,100,28,414,357,232,135,264,361,447,624,554,309,561,1431,2333,2738,4182,4149,2531,2125,2706,4955,10395,13602,10073,6503,6670,12036,11204,7896,7680,8047,10481,10944,16240,18489,15737,19795,10757,12569,17046,22280,27155
Mexico,Mexican four-eyed octopus,"Atlantic, Western Central",OQY,Octopus maya,Octopus maya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3166,7675,6928,2396,6879,5713,9339,12629,8806,15403,23441
Mexico,Skipjack tuna,"Pacific, Eastern Central",SKJ,Katsuwonus pelamis,Katsuwonus pelamis,NA,NA,NA,NA,NA,300,500,100,NA,500,400,400,400,900,900,1800,1700,4000,3200,1300,3400,4500,2320,1230,3420,3660,7463,3260,5404,5256,13041,26460,17114,11556,16680,6720,7930,8827,18610,17000,7390,11940,8779,13291,7045,30694,16728,24286,16450,18356,14385,7520,9534,6335,9746,40988,19462,31837,22526,19394,15994,9513,16710,13787,6236,22622
Mexico,"Sharks, rays, skates, etc. nei","Pacific, Eastern Central",SKX,Elasmobranchii,Elasmobranchii,NA,NA,NA,NA,3600,3800,4100,4500,5600,4600,4700,3600,3400,1700,1700,2000,2500,3300,3100,5900,6000,5200,4800,8100,9002,7538,6109,6262,9224,11314,11951,14423,14821,11902,12338,11645,11066,9811,13699,11097,12818,11634,14573,15825,16348,15959,16841,13330,13982,15350,16755,15654,15811,16145,18060,15646,16338,15096,12217,11857,18721,13076,12376,16132,14710,19991
Mexico,Venus clams nei,"Pacific, Eastern Central",CLV,Veneridae,Veneridae,NA,NA,NA,NA,NA,1500,2100,2500,1600,1300,1800,2200,2000,2000,700,800,800,1900,1300,2900,2700,2700,13300,2500,1833,1830,1137,2658,5493,6029,9436,8905,10347,6930,2155,3506,6320,6219,9287,12647,6718,6273,4944,4882,5134,6239,5038,3912,3672,4486,4835,3582,2930,3233,3026,6694,6990,6399,7539,7678,7815,5673,6403,10024,22387,16301
Mexico,Blue crab,"Atlantic, Western Central",CRB,Callinectes sapidus,Callinectes sapidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,1100,1100,1700,2000,3000,800,700,1100,2400,3818,4645,3045,4455,5615,6054,5814,8201,10464,6979,6659,6320,5187,5666,6194,5974,7400,8651,9372,11076,11026,10657,13736,14412,12920,12714,8602,7291,8063,6023,4752,10275,10729,10183,9729,9275,9138,9505,8967,9795,12405,15126
Mexico,Northern brown shrimp,"Atlantic, Western Central",ABS,Penaeus aztecus,Penaeus aztecus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,897,937,979,1943,1583,1381,6452,6301,6254,8339,13179
Mexico,Weakfishes nei,"Pacific, Eastern Central",WKX,Cynoscion spp,Cynoscion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,100,0,0,0,1,6,7,0,8,2,0,1,27,4,3,165,0,2,6,12,3040,3154,2707,2643,2788,2281,3402,4042,4602,5507,2494,5356,5596,2750,1851,25,25,6664,6868,7072,10412,6589,5930,6221,11536,12870
Mexico,Common octopus,"Atlantic, Western Central",OCC,Octopus vulgaris,Octopus vulgaris,NA,NA,NA,NA,NA,NA,NA,NA,500,200,400,500,500,700,300,800,1100,1600,1900,2200,1500,2200,3700,1900,3281,3529,4487,6162,2344,6558,6444,6868,6364,8553,5769,6374,9337,8136,7574,12115,15385,15341,16296,15790,16817,18958,28572,17776,16478,19081,22463,20596,16018,16103,24447,6753,16372,11802,8959,16636,15325,16281,16919,14369,18332,12826
