Year,Engraulidae,Invertebrata,Penaeus merguiensis,Sphyraena spp,Lates calcarifer,Selar crumenophthalmus,Priacanthus spp,Sepioteuthis lessoniana,Parastromateus niger,Seriolina nigrofasciata,Anadara granosa,Portunus pelagicus,Carangidae,Loligo spp,Sciaenidae,"Sepiidae, Sepiolidae",Muraenesox cinereus,Chirocentrus dorab,Plotosus spp,Thenus orientalis,"Auxis thazard, A. rochei",Penaeus monodon,Penaeus semisulcatus,Serranidae,Psettodes erumei,Rastrelliger kanagurta,Rastrelliger spp,Decapterus russelli,Scylla serrata,Rhopilema spp,Euthynnus affinis,Trichiurus lepturus,Synodontidae,Thunnus tonggol,Brachyura,Osteichthyes,Mollusca,Metapenaeus spp,Scolopsis spp,Mugilidae,Octopodidae,Penaeus spp,Rajiformes,Sardinella spp,Pectinidae,Ariidae,Scomberomorus spp,Sergestidae,Elasmobranchii,Paphia spp,Sillaginidae,Pampus argenteus,Lutjanidae,Stomatopoda,Nemipterus spp,Polynemidae,Cynoglossidae,Megalaspis cordyla,Penaeus latisulcatus,Total
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36700,0,0,0,0,0,0,0,0,26000,0,0,0,0,0,9400,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73300
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47900,0,0,0,0,0,0,0,0,26000,0,0,0,0,0,8300,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83400
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,25100,0,0,0,0,0,6550,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75150
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45100,0,0,0,0,0,0,0,0,27900,0,0,0,0,0,9200,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83600
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51700,0,0,0,0,0,0,0,0,33100,0,0,0,0,0,11200,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97400
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45100,0,0,0,0,0,0,0,0,30400,0,0,0,0,0,9800,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86300
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45500,0,0,0,0,0,0,0,0,30800,0,0,0,0,0,9900,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87200
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54100,0,0,0,0,0,0,0,0,31700,0,0,0,0,0,10000,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97700
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41600,0,0,0,0,0,0,0,0,34500,0,0,0,0,0,8100,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85900
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33900,0,0,0,0,0,0,0,0,39200,0,0,0,0,0,7100,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81900
