Year,Engraulidae,Invertebrata,Penaeus merguiensis,Sphyraena spp,Lates calcarifer,Selar crumenophthalmus,Priacanthus spp,Sepioteuthis lessoniana,Parastromateus niger,Seriolina nigrofasciata,Anadara granosa,Portunus pelagicus,Carangidae,Loligo spp,Sciaenidae,"Sepiidae, Sepiolidae",Muraenesox cinereus,Chirocentrus dorab,Plotosus spp,Thenus orientalis,"Auxis thazard, A. rochei",Penaeus monodon,Penaeus semisulcatus,Serranidae,Psettodes erumei,Rastrelliger kanagurta,Rastrelliger spp,Decapterus russelli,Scylla serrata,Rhopilema spp,Euthynnus affinis,Trichiurus lepturus,Synodontidae,Thunnus tonggol,Brachyura,Osteichthyes,Mollusca,Metapenaeus spp,Scolopsis spp,Mugilidae,Octopodidae,Penaeus spp,Rajiformes,Sardinella spp,Pectinidae,Ariidae,Scomberomorus spp,Sergestidae,Elasmobranchii,Paphia spp,Sillaginidae,Pampus argenteus,Lutjanidae,Stomatopoda,Nemipterus spp,Polynemidae,Cynoglossidae,Megalaspis cordyla,Penaeus latisulcatus,Total
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28100,0,0,0,0,0,0,0,0,41800,0,0,0,0,0,12000,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84600
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21900,0,0,0,0,0,0,0,0,95300,0,0,0,0,0,13700,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133400
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33900,0,0,0,0,0,0,0,0,117900,0,0,0,0,0,16700,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171300
1963,0,0,0,0,0,0,0,0,0,0,0,8800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21900,0,0,0,0,0,0,0,0,176900,0,0,0,0,0,21000,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231800
1964,0,0,0,0,0,0,0,0,0,0,0,8900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49500,0,0,0,0,0,0,0,0,304300,0,0,0,0,0,27000,3400,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,393300
1965,0,0,0,0,0,0,0,0,0,0,0,10700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65700,0,0,0,0,0,0,0,0,314600,0,0,0,0,0,31900,7300,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,430700
1966,0,0,0,0,0,0,0,0,0,0,0,12900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82300,0,0,0,0,0,0,0,0,334800,0,0,0,0,0,41900,7700,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,479900
1967,0,0,0,0,0,0,0,0,0,0,0,12900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87500,0,0,0,0,0,0,0,0,446600,0,0,0,0,0,56600,2700,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0,0,608900
1968,0,0,0,0,0,0,0,0,0,0,0,23500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139200,0,0,0,0,0,0,0,0,560100,0,0,0,0,0,69500,4000,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,0,800500
1969,0,0,0,0,0,0,0,0,0,0,0,13700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124000,0,0,0,0,0,0,0,0,719300,0,0,0,0,0,69760,6300,0,0,0,0,0,6300,0,0,0,0,0,0,0,0,0,0,939360
1970,14100,8300,9600,4400,0,0,9600,0,2000,0,0,13500,6500,21300,11100,11900,0,0,0,1500,0,300,1500,0,0,13600,85800,3800,3200,2500,4315,2900,9400,0,0,636300,15700,9800,4700,3160,600,27900,3900,26200,0,11300,2813,8100,3700,5800,800,500,3900,0,13200,1500,0,3900,500,1025388
1971,15500,9400,10600,4800,0,0,10600,0,2200,0,0,14800,7100,23400,11300,13100,0,4300,0,1600,0,300,1600,0,0,14900,94500,4200,3500,2500,5424,3200,10400,0,0,700200,17200,10800,5200,3450,700,30300,4300,28800,0,12700,8670,8900,4000,6400,800,500,4300,0,14600,1500,0,4300,600,1137444
1972,20300,3200,4800,3900,0,0,15200,0,2600,0,0,15800,8900,44600,16800,23700,0,1300,0,1500,0,200,1600,0,0,13900,39100,2900,2800,2700,5508,3400,14800,0,0,954100,8900,10000,5700,1410,4200,39650,5300,11400,0,11600,2869,5400,2800,14100,900,500,6300,0,20600,1700,0,2100,600,1359637
1973,27100,2200,9200,4700,0,0,11500,0,3000,0,0,16700,14300,37400,16100,22000,1200,1200,0,1100,0,1000,3000,0,4800,23600,52500,15900,2500,66900,6519,4700,12700,0,400,883500,5500,16000,5700,1320,1600,62900,6900,34300,0,9100,4455,14400,4400,18000,1700,1500,3900,0,18300,1700,3600,3800,1400,1466194
1974,27600,3900,8900,3200,0,0,11800,0,2200,0,0,24100,10400,41600,13500,20500,900,1500,0,1400,0,300,2500,0,3200,19100,40400,34800,3600,2400,8715,5200,10800,0,200,746800,4400,13800,4100,1880,1600,51100,5300,58100,0,7200,4602,11700,3200,13800,1700,1200,3600,0,18100,2300,3900,5100,1200,1267397
1975,16267,150,10707,3735,0,0,14171,0,3773,0,0,18607,13480,37191,10951,24517,1928,2302,0,1624,0,373,2211,0,3663,21161,67573,26332,4435,4369,11163,5908,11161,0,379,685059,5405,15040,3024,2638,3098,53438,5652,62299,0,6476,7824,18048,2730,14495,1141,1426,3764,0,19178,4412,5296,5469,1074,1245117
1976,17296,15,8400,2930,0,0,11723,0,2997,0,0,19131,21944,35478,4541,23385,1206,1293,0,1529,0,36,1291,0,2904,22696,51261,83628,3092,22738,8890,6178,8048,0,3585,684939,3715,1811,3555,4326,4036,59695,3251,64030,0,3084,7317,22118,3542,23300,1083,474,6094,0,16167,1375,5316,13752,1241,1300436
1977,11107,17,8179,2686,0,0,17777,0,2581,0,0,21224,27861,47210,10889,30098,2010,1059,0,2583,0,393,2742,0,3861,30826,26581,129896,3618,82439,11296,7970,11349,0,139,778153,976,12792,3111,3913,7013,74503,5250,211094,0,6035,10808,18566,3482,17360,1949,1488,3272,0,17331,1257,5907,25599,1420,1707670
1978,9351,1520,10624,4054,0,0,13026,0,2878,0,0,20481,34476,47185,11427,30746,2134,2297,0,2302,0,452,1124,0,3908,34613,42917,106490,2381,59708,8258,7296,11932,0,45,814677,2670,13185,159,6861,7103,72859,4886,142173,0,1247,8119,15737,2797,10654,3647,699,5417,0,21154,9094,6195,14385,2007,1637350
1979,19065,2255,9398,3764,0,0,11016,0,1285,0,0,23597,19339,37293,7756,26293,2205,4119,0,1768,0,559,1543,0,3077,26340,84209,27017,2210,51252,4130,5801,9930,10583,9,749509,2178,11306,446,3437,7234,63544,3885,150804,0,326,10120,11283,2647,21098,2447,275,4092,0,18201,939,5284,6606,1923,1473397
1980,19536,953,9939,3702,0,0,15302,0,1498,0,0,24302,22470,36203,8611,23475,2136,2415,0,890,0,178,1586,0,3491,26908,51627,30069,2057,2056,4933,5392,9826,7962,31,775131,2722,12493,439,3697,5738,75599,4006,102999,0,255,9336,11818,2906,35131,1868,258,4272,0,15557,925,5119,10580,1926,1400323
1981,13952,312,14399,3664,0,0,14131,0,1661,0,0,23230,44215,43778,9229,23582,2221,2968,0,1405,0,73,1159,0,3960,19702,69452,35006,2433,11620,10240,5931,7622,9958,105,740275,2657,13863,211,6481,5347,77689,4071,137734,0,267,11207,11993,3004,62220,1832,137,4018,0,17192,901,6638,3768,1740,1489253
1982,24504,40,10190,3630,0,0,8896,0,1669,0,0,20946,11379,66308,7125,35338,2025,2113,0,1027,0,90,1038,0,2662,20261,76047,32080,2695,29237,23355,4620,7754,16306,183,796106,5140,14058,5204,3782,6968,117916,3435,89842,0,551,8365,18057,2722,37859,1280,406,3760,0,14962,1326,6220,3987,1237,1554701
1983,40205,665,8364,3142,0,0,10299,0,1552,0,0,21858,21148,72140,6710,42477,1768,2409,0,645,0,93,872,0,1779,51343,66624,24521,2248,147471,31550,2878,8557,50451,147,765280,3830,12503,779,3497,8114,91463,3365,100325,0,645,8177,16264,2363,28506,1386,487,3284,0,13153,1526,5369,18427,1469,1712128
1984,89639,654,7380,2920,0,0,9265,0,2176,0,0,18618,17621,59693,6433,47776,1425,1991,0,1016,0,85,702,0,2354,31236,114761,27479,2368,5892,30999,2856,8685,38470,224,715934,2751,10146,543,2840,6366,71593,3434,86952,0,944,9373,15610,2593,50506,2205,378,3631,0,12768,1716,4761,6115,1264,1545141
1985,103783,4231,6202,2340,0,0,10986,0,2648,0,0,18705,49454,59077,6011,35778,1903,2183,0,1239,0,158,667,0,2382,35807,107350,25667,2580,6463,35644,2942,8519,45589,101,756550,3466,9535,136,3283,8922,62526,4583,70197,0,1158,9683,15573,2873,82731,3063,313,3394,0,15358,1766,5430,5706,1242,1645897
1986,58851,1154,5668,2948,0,0,17267,0,4304,0,0,24120,38320,65292,6676,45122,2374,2481,0,1271,0,0,424,0,3307,40926,99629,23947,2810,17089,43976,3727,13281,46408,371,919482,2394,8576,242,4100,10918,72927,7263,94585,0,1076,12474,15969,3706,96430,3123,408,4710,0,22660,1228,6242,17392,1455,1879103
1987,56356,1669,6977,3885,0,0,24121,0,4357,0,0,29400,33347,68326,7639,40728,2649,3497,0,1715,18060,153,439,0,3678,37611,104039,41842,3101,13940,35341,4674,16478,37360,730,1057105,2694,10275,680,3484,10992,74891,8054,85553,0,886,11307,16916,3847,129078,3373,521,4020,0,29820,1058,6300,17580,1524,2082070
1988,69127,1,6830,3746,0,0,21874,0,4902,0,0,32132,56396,60934,8658,41347,2238,4118,0,1321,26070,0,386,0,3139,20221,99535,14016,2523,18352,23799,4257,16234,91628,195,930994,1745,8058,687,3041,11283,57721,5963,91048,0,1229,13319,19872,3436,107163,3678,853,4856,0,26508,1493,6310,19907,1409,1954552
1989,96596,0,7584,3387,0,0,21749,0,3408,0,0,29969,42043,62732,8740,49187,1632,4181,0,1062,13305,0,308,0,3026,28000,103471,17263,2904,15955,31045,3708,17201,80596,1356,848548,2272,7533,596,3279,14621,56172,6386,115534,0,759,10395,21414,2769,85747,3251,321,4342,0,29776,1707,6646,19749,1521,1893746
1990,123176,0,8444,3101,0,0,21219,0,3517,0,0,30402,38841,57608,7480,45655,1786,5531,0,1192,20000,0,312,0,2912,22176,78279,10676,2328,13995,30071,3666,13169,101397,1548,899262,0,6567,619,3483,15828,54236,5521,92281,0,840,9995,20114,2036,84458,2177,338,4679,0,26282,1635,5938,13884,1364,1900018
1991,115082,25,7752,3130,0,0,25269,0,2098,0,0,31190,35928,56551,5180,50077,1084,5640,0,1190,22500,0,315,0,1266,17849,64156,22747,3129,55407,36263,2345,19750,79227,800,780613,233,7475,379,3719,13653,66195,4050,115641,0,690,7549,18990,2427,59590,2419,291,2878,0,34125,946,4323,12335,1271,1805742
1992,123288,200,7336,2261,0,0,36221,0,1979,0,0,31784,42531,51209,3956,48036,1043,5550,0,931,33700,0,325,0,1071,31577,96598,42525,2434,102179,51187,1741,31840,72277,584,819913,226,6689,78,3771,14648,58190,3458,142634,0,706,8414,20751,1578,66439,2016,1281,7887,0,51655,1134,4516,18067,1624,2060038
1993,123751,0,8130,2389,0,0,49710,0,1895,0,0,33641,42224,55867,4760,44456,2155,6016,0,1236,26800,0,323,0,968,35986,76997,46186,2972,9857,40602,2333,42486,39396,1452,818746,322,7209,72,3273,13681,59688,3702,113860,0,6878,11085,19354,1934,39834,1956,1223,13569,0,57903,2365,4781,18581,1399,1904003
1994,102729,0,9108,4011,411,0,44680,0,2545,3934,0,35157,55616,55762,3933,41987,3112,7352,839,861,26900,488,642,5679,1216,50898,82021,38394,2541,78308,40927,2812,35593,32006,2194,863460,0,7888,0,3961,11282,59604,7772,125179,534,839,9904,21375,2208,27960,2490,1515,11008,0,55850,2132,7319,20809,1304,2017049
1995,123095,0,9225,4335,14,0,57723,0,3583,4048,0,35414,47456,59624,4195,45358,2732,9897,565,1730,19250,373,711,5431,1657,45338,112280,54641,2268,16668,28871,4482,58482,38824,2093,805867,0,7673,77,3678,10828,62073,6448,141180,588,565,10660,19532,2812,20060,3785,515,12679,0,71637,1010,8418,9723,1486,2001657
1996,122423,0,7133,3962,421,24533,67411,7691,3483,3603,0,36219,44365,56006,5118,39548,921,2741,767,2716,18850,572,1042,5847,1368,21328,92765,52648,1716,17956,28275,3361,51004,32347,921,743398,0,8569,98,3952,12721,62338,4903,161771,547,3680,9360,18387,3160,34560,2901,588,9180,181,64749,1106,6849,5217,1600,1918876
1997,117229,0,7169,3691,38,22188,62675,9359,3272,3532,0,34916,41356,55740,5048,38985,866,2715,647,2785,17000,631,1068,5649,1313,19276,91622,47498,1610,22425,25557,4553,62397,29127,989,702437,0,8357,344,4075,12193,59253,5115,151708,503,3780,8875,15100,2993,24227,2594,521,8469,176,62994,1041,6717,4027,1838,1830263
1998,121443,0,7648,3208,42,24931,64873,3907,1905,3088,421,37281,35599,68788,3896,40940,1178,4724,1093,3005,17600,341,839,5020,1130,19393,107083,57893,1848,59165,26427,2486,35289,34805,1723,636929,99,7153,644,3905,16919,37941,4104,129045,1182,3334,9480,14315,3306,43457,2156,153,11559,457,59683,1196,6805,7981,1775,1802590
1999,103445,34,8206,5563,55,25966,71127,5053,4660,3345,1750,33864,35668,62613,15616,39956,1167,6598,556,1760,22700,1043,609,5465,1828,26912,125175,56461,3763,84520,34188,6461,60534,45818,1510,660947,1664,6806,54,2700,12120,34147,7591,128492,550,8348,9826,6381,6302,42612,1746,96,8961,750,69949,404,6322,7374,2546,1930677
2000,117025,219,10385,6397,742,29075,65168,7213,3240,3188,948,37219,30381,64671,16456,37714,1141,7493,1244,2289,18400,1580,714,5035,1904,21902,120882,67902,3426,138636,27654,7342,52601,53407,788,685805,1391,10110,94,3106,10885,37638,8806,121738,259,9184,8566,3098,7133,25964,2012,272,5242,866,74544,358,7476,7433,2993,1999354
2001,121065,1749,10453,7625,378,31089,59926,5574,3801,2562,1248,29134,41716,60532,20221,38754,1160,5928,1084,1797,15400,989,611,5112,752,14620,106690,67144,2955,46735,23000,8021,65821,55533,1003,677494,1389,8504,46,4312,8065,33128,8047,111138,234,7035,8684,3375,6785,33736,2446,299,4104,1634,79505,306,4966,3388,2353,1871155
2002,123841,339,8953,8451,426,31715,63862,5826,4003,6532,1174,21407,38647,70060,23683,41963,1205,6739,1029,2035,18300,660,911,5841,942,17273,115642,71408,703,28947,27391,10154,73330,59052,1413,616741,896,7900,62,2867,8469,34182,11034,108229,124,8916,10418,3748,9118,31737,3934,621,6577,1474,89320,644,6638,2557,2616,1862679
2003,132550,489,7458,10072,68,36650,63682,6333,3665,6750,2427,22825,37526,65578,24165,43386,1221,7371,148,2474,14600,580,1591,4993,1253,16826,112479,68627,596,8791,22016,9474,66496,68147,2459,611861,1864,6895,45,2384,9449,28228,13737,109399,180,8501,12712,4243,10492,50282,3869,955,6394,1856,85226,400,5997,9644,1884,1860263
2004,139326,274,9284,7115,37,37020,89495,5500,3216,2386,2523,22113,39850,56856,30202,39224,1882,6203,209,2179,18700,1666,1751,3733,1759,18479,122070,68519,2051,1528,27931,10037,47194,78657,3551,562426,4893,8344,16,2267,10228,23292,11037,103303,156,9651,19806,5149,5868,28646,6948,596,11201,1994,74160,511,3944,7041,2081,1806078
2005,135140,3258,11381,10373,40,33293,85007,3811,2884,2747,1966,18567,35882,63628,33308,42484,1819,5188,159,1837,18700,1999,2065,3880,2138,17857,117218,52197,1297,3524,27947,8652,49389,79095,4148,565206,4029,8409,8,2956,14000,21170,5136,110463,286,7533,20828,8778,3915,18079,8718,542,10723,1638,80700,524,3920,2186,1965,1784590
2006,125919,1585,9294,7600,46,28585,75118,3584,2451,2326,1417,23860,29772,63377,31485,34850,1606,4711,176,1619,16800,2013,2028,3172,1802,16758,111865,46204,4327,3659,25273,7234,42459,71213,4950,489728,4155,8022,6,2345,11124,21327,4924,90250,272,6699,18137,6785,3576,22097,8620,670,6422,1526,69305,837,3561,1838,2023,1593387
2007,118886,1049,7972,8033,35,27808,71458,3646,2800,1927,1204,16638,28021,53489,29989,30101,1665,3533,137,1457,15600,1682,1718,3175,1580,13584,95668,45347,1936,7274,23476,7189,37563,62072,4425,455575,3762,7173,57,2216,8957,18056,4114,81562,237,5877,15501,6310,2958,13205,9399,2587,5443,1014,64211,443,2463,2701,1940,1447898
2008,119964,609,6924,6393,7,14798,19658,4528,1750,1253,1219,16156,24230,57766,13355,13873,1330,2742,103,908,6050,2116,1929,1829,1000,15214,85260,3731,1205,2264,9082,3287,15053,10500,2184,342669,3096,6143,0,3560,6013,13486,3072,78859,171,1095,6449,7124,1722,14134,1993,457,974,845,25024,240,1989,4260,1503,993148
2009,110410,426,5785,6158,18,17356,19235,4523,1863,1151,1416,15132,22724,54903,14259,15854,1505,2523,216,664,5650,1739,1427,2022,1002,12304,81555,4186,1063,3335,8478,3092,14038,12309,2458,369874,3227,5940,47,3790,5842,14346,2893,83612,132,1298,6964,7210,1808,15738,2394,476,1070,505,25799,238,2049,3178,1448,1010657
2010,107565,194,4603,7624,8,14356,21198,4061,1858,724,1464,14262,33219,70876,14251,17933,2294,3297,316,716,5930,1366,908,2286,744,18300,91470,17705,1044,4594,8898,4521,16243,11806,2534,348807,3447,7115,1337,2848,5631,17343,2693,77670,268,661,8846,5768,1241,18832,1193,271,1622,534,24938,858,4159,5275,877,1051402
2011,110014,29,4061,9917,7,14554,20944,2953,1671,674,1459,18411,33383,78387,9238,17694,2726,2881,340,1032,4790,582,346,2062,900,30764,136005,19618,1084,4708,7199,7207,22322,5152,2805,322555,3900,14054,2649,3526,5338,10343,1988,46789,271,634,6560,4895,849,12594,870,149,2033,236,38113,792,4170,5145,400,1064772
2012,97192,22,6184,13822,8,12491,22949,3615,1756,2045,1940,24741,31164,66988,12334,20288,2076,2789,415,1161,5860,612,256,3044,1259,27702,113659,17575,2185,1875,8802,5261,25194,10175,2526,332994,3182,10443,1613,3371,7940,9228,2933,59428,421,3408,6159,3270,2170,8713,1442,577,3677,271,40409,952,3499,4992,790,1061847
2013,83868,45,6829,15198,77,14149,24440,4728,1864,2360,1565,19216,32591,63499,12805,21426,2292,2368,390,766,7170,392,154,2800,2501,32398,127206,21234,921,2378,10757,5902,31958,12229,2441,357952,5840,7183,6521,2172,8626,14871,3671,60441,319,3085,6167,1583,2125,12367,1451,549,4210,910,45081,1206,7137,6494,608,1131486
2014,97865,16,4293,12113,173,15047,22090,2448,1658,2000,582,18721,31054,55696,11082,17494,2030,2543,416,608,7630,549,230,2379,1691,30790,128835,22173,657,7692,11435,5636,28342,13046,2084,347826,4431,6191,7276,2398,7591,19749,3352,62573,718,3232,6317,1696,2042,12344,1583,386,3233,717,38940,702,4578,6150,303,1105426
2015,82330,51,5264,14690,162,14762,17090,2972,1670,536,482,17076,38324,58148,6248,10674,2028,2269,439,599,7160,281,444,3471,559,28925,53452,12586,820,5650,10750,3419,20229,13230,2623,319281,3654,5682,11000,2101,4510,12328,2494,70077,3971,1175,7540,2242,896,8454,696,935,5142,323,25239,568,2234,22690,269,952914
2016,112641,1506,7227,17674,21,12165,10419,4110,1656,80,675,27733,46100,72263,6194,9167,1746,4794,549,721,4550,105,992,2771,338,28709,26657,12740,230,9426,6831,2203,12408,16944,2299,282078,3823,8212,7429,1793,4167,15568,2515,63455,2659,240,6284,6561,533,15464,772,852,4583,448,19889,1397,1865,34695,287,950213
2017,108943,2143,5525,15070,9,13750,12034,4898,3440,397,286,21563,60784,62784,7298,12311,2122,4898,2166,1014,4280,211,886,3491,636,31063,21809,23335,162,2428,6420,4017,13781,22123,3140,252462,5517,6397,9257,1756,5064,9655,2779,65237,3878,322,6670,6831,704,0,1075,349,7411,1098,26510,1380,2975,15786,533,912863

