Area,Sp.group,Name,Species,2009,2011,2013,2015,2017,U2009,U2011,U2013,U2015,U2017
27,54,Other Mussels,,?,?,,-,?,,,,-,
27,54,54-Mussels,,,,,,,,,,,
31,33,Flathead grey mullet,Mugil cephalus,F/O,F/O,F/O,"F,F, O","F,F,O",M,M,M,M,M
31,33,Groupers,,O,F/O,O,O,F/O,M,M,M,L,L
31,33,"Grunts, sweetlips nei",Haemulidae (=Pomadasyidae),F/O,F/O,F/O,"O, F",F/O,M,M,M,H,H
31,33,Mullets nei,Mugilidae,?,O,?,"O, F",F/O,,H,M,H,H
31,33,Sciaenids,,F/O,F/O,F/O,"F, O",F/O,M,M,M,M,M
31,33,Snappers,,O,F/O,O,"O, F, O",F/O,M,M,M,M,M
31,33,Other Miscellaneous coastal fishes,,,,,"F, O",F/O,,,,H,H
31,33,33-Miscellaneous coastal fishes,,,,,,,,,,,
31,34,34-Miscellaneous demersal fishes,,,,,F,F,,,,M,M
31,35,Atlantic menhaden,Brevoortia tyrannus,F/O,F,F,F,F,L,L,L,L,L
31,35,Atlantic thread herring,Opisthonema oglinum,?,?,?,O,F,,,,H,H 
31,35,Gulf menhaden,Brevoortia patronus,F,F,F,F,F,L,L,L,L,L
31,35,Round sardinella,Sardinella aurita,O,O,O,F,F,L,L,M,M,H
31,35,"Other Herrings, sardines, anchovies",,,,,"O, F","O,F",,,,H,H
31,35,"35-Herrings, sardines, anchovies",,,,,, ,,,,, 
31,36,Albacore,Thunnus alalunga,,,,F,F,,,,M,L
31,36,Atlantic bonito,Sarda sarda,?,?,?,F,F/O,,,,H,H
31,36,Atlantic Spanish mackerel,Scomberomorus maculatus,?,F,F/O,F,F,,H,M,M,M
31,36,Cero,Scomberomorus regalis,?,?,?,O,?,,,,H, 
31,36,King mackerel,Scomberomorus cavalla,"O,O",F,F/O,F,F,H,H,M,M,M
31,36,Serra Spanish mackerel,Scomberomorus brasiliensis,?,F,?,O,O,,H,,H,H
31,36,Skipjack tuna,,,,,F,F,,,,L,M
31,36,Yellowfin tuna,,,,,F,O,,,,L,L
31,36,"Other Tunas, bonitos, billfishes",,,,,"O, F","O,F",,,,L,M
31,36,"36-Tunas, bonitos, billfishes",,,,,, ,,,,, 
31,38,"38-Sharks, rays, chimaeras",,?, ,?,"F,F, O",F/O,,,,M,M
31,39,39-Marine fishes not identified,,,,,F,F,,,,H,H
31,42,"42-Crabs, sea-spiders",,,,,O,F/O,,,,M,M
31,43,Caribbean spiny lobster,Panulirus argus,F/O,F/O,F/O,F,F,L,L,M,L,H
31,43,"Other Lobsters, spiny-rock lobsters",,,,,,,,,,,
31,43,"43-Lobsters, spiny-rock lobsters",,,,,, ,,,,, 
