Region,Stock,Latin binomial,F/Fmsy,SAR,FP,Overlap
North California Current,Sharpchin rockfish,Sebastes zacentrus,0.01,0.08,6.9,NA
North California Current,Shortspine thornyhead,Sebastolobus alascanus,0.6,0.08,6.9,37.93
North California Current,Splitnose Rockfish,Sebastes diploproa,0.06,0.08,6.9,37.93
North California Current,Widow rockfish,Sebastes entomelas,0.04,0.08,6.9,37.93
North California Current,Yelloweye rockfish,Sebastes ruberrimus,0.32,0.08,6.9,37.93
North California Current,Yellowtail rockfish,Sebastes flavidus,0.2,0.08,6.9,16.08
Aleutian Islands,Walleye pollock,Theragra chalcogramma,0.03,0.03,2.1,31.43
Gulf of Alaska,Arrowtooth flounder,Atheresthes stomias,0.05,0.02,1.7,69.75
Gulf of Alaska,Dusky rockfish,Sebastes variabilis,0.61,0.02,1.7,73.93
Gulf of Alaska,Flathead sole,Hippoglossoides elassodon,0.04,0.02,1.7,73.93
Gulf of Alaska,Northern rockfish,Sebastes polyspinis,0.38,0.02,1.7,71.82
Gulf of Alaska,Pacific cod,Gadus macrocephalus,0.49,0.02,1.7,76.54
Gulf of Alaska,Pacific ocean perch,Sebastes alutus,0.47,0.02,1.7,74.55
Gulf of Alaska,Rex sole,Glyptocephalus zachirus,0.68,0.02,1.7,86.05
Gulf of Alaska,Rougheye rockfish,Sebastes aleutianus,0.21,0.02,1.7,75.83
Gulf of Alaska,Walleye pollock,Theragra chalcogramma,0.29,0.02,1.7,68.74
