Scientific_name (FAO),English_name (FAO),ISSCAAP name,taxgroup
Cycleptus elongatus,Blue sucker,"Carps, barbels and other cyprinids",other fw fish
Deltistes luxatus,Lost River sucker,"Carps, barbels and other cyprinids",other fw fish
Catostomus catostomus,Longnose sucker,"Carps, barbels and other cyprinids",other fw fish
Catostomus commersoni,White sucker,"Carps, barbels and other cyprinids",other fw fish
Catostomus latipinnis,Flannelmouth sucker,"Carps, barbels and other cyprinids",other fw fish
Catostomus macrocheilus,Largescale sucker,"Carps, barbels and other cyprinids",other fw fish
Catostomus tahoensis,Tahoe sucker,"Carps, barbels and other cyprinids",other fw fish
Moxostoma congestum,Gray redhorse,"Carps, barbels and other cyprinids",other fw fish
Moxostoma erythrurum,Golden redhorse,"Carps, barbels and other cyprinids",other fw fish
Moxostoma macrolepidotum,Shorthead redhorse,"Carps, barbels and other cyprinids",other fw fish
Lagochila lacera,Harelip sucker,"Carps, barbels and other cyprinids",other fw fish
Ictiobus cyprinellus,Bigmouth buffalo,"Carps, barbels and other cyprinids",other fw fish
Ictiobus spp,Buffalofishes nei,"Carps, barbels and other cyprinids",other fw fish
Myxocyprinus asiaticus,Chinese sucker,"Carps, barbels and other cyprinids",other fw fish
Carpiodes carpio,River carpsucker,"Carps, barbels and other cyprinids",other fw fish
Xyrauchen texanus,Razorback sucker,"Carps, barbels and other cyprinids",other fw fish
Chasmistes cujus,Cui-ui,"Carps, barbels and other cyprinids",other fw fish
Minytrema melanops,Spotted sucker,"Carps, barbels and other cyprinids",other fw fish
Erimyzon sucetta,Lake chubsucker,"Carps, barbels and other cyprinids",other fw fish
Hypentelium nigricans,Northern hog sucker,"Carps, barbels and other cyprinids",other fw fish
Catostomidae,Suckers nei,"Carps, barbels and other cyprinids",other fw fish
Abramis brama,Freshwater bream,"Carps, barbels and other cyprinids",other fw fish
Abramis spp,Freshwater breams nei,"Carps, barbels and other cyprinids",other fw fish
Cyprinus carpio,Common carp,"Carps, barbels and other cyprinids",other fw fish
Cyprinus pellegrini,Barbless carp,"Carps, barbels and other cyprinids",other fw fish
Aaptosyax grypus,,"Carps, barbels and other cyprinids",other fw fish
Abbottina rivularis,Chinese false gudgeon,"Carps, barbels and other cyprinids",other fw fish
Acanthalburnus microlepis,Blackbrow bleak,"Carps, barbels and other cyprinids",other fw fish
Tinca tinca,Tench,"Carps, barbels and other cyprinids",other fw fish
Acapoeta tanganicae,,"Carps, barbels and other cyprinids",other fw fish
Alburnus alburnus,Bleak,"Carps, barbels and other cyprinids",other fw fish
Alburnus albidus,,"Carps, barbels and other cyprinids",other fw fish
Barbus barbus,Barbel,"Carps, barbels and other cyprinids",other fw fish
Barbus meridionalis,Mediterranean barbel,"Carps, barbels and other cyprinids",other fw fish
Barbus canis,,"Carps, barbels and other cyprinids",other fw fish
Barbus aeneus,Smallmouth yellowfish,"Carps, barbels and other cyprinids",other fw fish
Barbus capensis,Clanwilliam yellowfish,"Carps, barbels and other cyprinids",other fw fish
Barbus haasi,,"Carps, barbels and other cyprinids",other fw fish
Barbus holotaenia,Spotscale barb,"Carps, barbels and other cyprinids",other fw fish
Barbus johnstonii,,"Carps, barbels and other cyprinids",other fw fish
Barbus macrotaenia,Broadband barb,"Carps, barbels and other cyprinids",other fw fish
Barbus neumayeri,,"Carps, barbels and other cyprinids",other fw fish
Barbus longiceps,,"Carps, barbels and other cyprinids",other fw fish
Barbus plebejus,,"Carps, barbels and other cyprinids",other fw fish
Barbus altianalis,Ripon barbel,"Carps, barbels and other cyprinids",other fw fish
Barbus altidorsalis,,"Carps, barbels and other cyprinids",other fw fish
Barbus bynni,,"Carps, barbels and other cyprinids",other fw fish
Barbus callensis,Algerian barb,"Carps, barbels and other cyprinids",other fw fish
Barbus eurystomus,,"Carps, barbels and other cyprinids",other fw fish
Barbus lineomaculatus,Line-spotted barb,"Carps, barbels and other cyprinids",other fw fish
Barbus unitaeniatus,Slender barb,"Carps, barbels and other cyprinids",other fw fish
Barbus paludinosus,Straightfin barb,"Carps, barbels and other cyprinids",other fw fish
Barbus perince,,"Carps, barbels and other cyprinids",other fw fish
Barbus mattozi,Papermouth,"Carps, barbels and other cyprinids",other fw fish
Barbus marequensis,Largescale yellowfish,"Carps, barbels and other cyprinids",other fw fish
Barbus trimaculatus,Threespot barb,"Carps, barbels and other cyprinids",other fw fish
Barbus tropidolepis,,"Carps, barbels and other cyprinids",other fw fish
Barbus cyclolepis,,"Carps, barbels and other cyprinids",other fw fish
Chondrostoma nasus,Common nase,"Carps, barbels and other cyprinids",other fw fish
Chondrostoma toxostoma,,"Carps, barbels and other cyprinids",other fw fish
Chondrostoma polylepis,Iberian nase,"Carps, barbels and other cyprinids",other fw fish
Chondrostoma soetta,,"Carps, barbels and other cyprinids",other fw fish
Chondrostoma genei,,"Carps, barbels and other cyprinids",other fw fish
Agosia chrysogaster,Longfin dace,"Carps, barbels and other cyprinids",other fw fish
Carassius carassius,Crucian carp,"Carps, barbels and other cyprinids",other fw fish
Carassius auratus,Goldfish,"Carps, barbels and other cyprinids",other fw fish
Carassius cuvieri,Japanese white crucian carp,"Carps, barbels and other cyprinids",other fw fish
Carassius gibelio,Prussian carp,"Carps, barbels and other cyprinids",other fw fish
Carassius spp,,"Carps, barbels and other cyprinids",other fw fish
Gobio gobio,,"Carps, barbels and other cyprinids",other fw fish
Gobio albipinnatus,White-finned gudgeon,"Carps, barbels and other cyprinids",other fw fish
Rutilus rutilus,Roach,"Carps, barbels and other cyprinids",other fw fish
Rutilus frisii,Kutum,"Carps, barbels and other cyprinids",other fw fish
Rutilus rubilio,,"Carps, barbels and other cyprinids",other fw fish
Rutilus alburnoides,,"Carps, barbels and other cyprinids",other fw fish
Rutilus lemmingii,,"Carps, barbels and other cyprinids",other fw fish
Rutilus caspicus,Caspian roach,"Carps, barbels and other cyprinids",other fw fish
Rutilus spp,Roaches nei,"Carps, barbels and other cyprinids",other fw fish
Scardinius erythrophthalmus,Rudd,"Carps, barbels and other cyprinids",other fw fish
Leuciscus idus,Orfe(=Ide),"Carps, barbels and other cyprinids",other fw fish
Leuciscus cephaloides,,"Carps, barbels and other cyprinids",other fw fish
Leuciscus leuciscus,Common dace,"Carps, barbels and other cyprinids",other fw fish
Leuciscus borysthenicus,Dnieper chub,"Carps, barbels and other cyprinids",other fw fish
Leuciscus cephalus,Chub,"Carps, barbels and other cyprinids",other fw fish
Leuciscus polylepis,,"Carps, barbels and other cyprinids",other fw fish
Leuciscus pyrenaicus,,"Carps, barbels and other cyprinids",other fw fish
Leuciscus souffia,Vairone,"Carps, barbels and other cyprinids",other fw fish
Leuciscus schmidti,Schmidt's dace,"Carps, barbels and other cyprinids",other fw fish
Leuciscus bergi,Issyk-Kul dace,"Carps, barbels and other cyprinids",other fw fish
Leuciscus baicalensis,Siberian dace,"Carps, barbels and other cyprinids",other fw fish
Leuciscus spp,Chubs nei,"Carps, barbels and other cyprinids",other fw fish
Rhodeus amarus,,"Carps, barbels and other cyprinids",other fw fish
Rhodeus ocellatus,Rosy bitterling,"Carps, barbels and other cyprinids",other fw fish
Rhodeus sericeus,Bitterling,"Carps, barbels and other cyprinids",other fw fish
Tribolodon taczanowskii,,"Carps, barbels and other cyprinids",other fw fish
Tribolodon hakonensis,Big-scaled redfin,"Carps, barbels and other cyprinids",other fw fish
Tribolodon brandtii,Far Eastern ide,"Carps, barbels and other cyprinids",other fw fish
Labeo angra,,"Carps, barbels and other cyprinids",other fw fish
Labeo ariza,,"Carps, barbels and other cyprinids",other fw fish
Labeo bata,,"Carps, barbels and other cyprinids",other fw fish
Labeo boga,,"Carps, barbels and other cyprinids",other fw fish
Labeo calbasu,Orangefin labeo,"Carps, barbels and other cyprinids",other fw fish
Labeo dero,,"Carps, barbels and other cyprinids",other fw fish
Labeo dussumieri,,"Carps, barbels and other cyprinids",other fw fish
Labeo fimbriatus,Fringed-lipped peninsula carp,"Carps, barbels and other cyprinids",other fw fish
Labeo gonius,Kuria labeo,"Carps, barbels and other cyprinids",other fw fish
Labeo kontius,,"Carps, barbels and other cyprinids",other fw fish
Labeo microphthalmus,,"Carps, barbels and other cyprinids",other fw fish
Labeo nandina,,"Carps, barbels and other cyprinids",other fw fish
Labeo pangusia,,"Carps, barbels and other cyprinids",other fw fish
Labeo rohita,Roho labeo,"Carps, barbels and other cyprinids",other fw fish
Labeo sindensis,,"Carps, barbels and other cyprinids",other fw fish
Labeo altivelis,Rednose labeo,"Carps, barbels and other cyprinids",other fw fish
Labeo coubie,,"Carps, barbels and other cyprinids",other fw fish
Labeo cylindricus,Redeye labeo,"Carps, barbels and other cyprinids",other fw fish
Labeo darlingi,,"Carps, barbels and other cyprinids",other fw fish
Labeo forskalii,,"Carps, barbels and other cyprinids",other fw fish
Labeo fuelleborni,,"Carps, barbels and other cyprinids",other fw fish
Labeo horie,,"Carps, barbels and other cyprinids",other fw fish
Labeo mesops,,"Carps, barbels and other cyprinids",other fw fish
Labeo niloticus,,"Carps, barbels and other cyprinids",other fw fish
Labeo victorianus,Ningu,"Carps, barbels and other cyprinids",other fw fish
Labeo capensis,Orange River mudfish,"Carps, barbels and other cyprinids",other fw fish
Labeo dyocheilus,,"Carps, barbels and other cyprinids",other fw fish
Labeo rosae,,"Carps, barbels and other cyprinids",other fw fish
Labeo umbratus,Moggel,"Carps, barbels and other cyprinids",other fw fish
Labeo chrysophekadion,Black sharkminnow,"Carps, barbels and other cyprinids",other fw fish
Labeo spp,Rhinofishes nei,"Carps, barbels and other cyprinids",other fw fish
Cirrhinus cirrhosus,,"Carps, barbels and other cyprinids",other fw fish
Cirrhinus molitorella,Mud carp,"Carps, barbels and other cyprinids",other fw fish
Cirrhinus mrigala,Mrigal carp,"Carps, barbels and other cyprinids",other fw fish
Cirrhinus reba,Reba carp,"Carps, barbels and other cyprinids",other fw fish
Cirrhinus microlepis,Small scale mud carp,"Carps, barbels and other cyprinids",other fw fish
Algansea lacustris,Pátzcuaro chub,"Carps, barbels and other cyprinids",other fw fish
Aspidoparia jaya,,"Carps, barbels and other cyprinids",other fw fish
Aspidoparia morar,,"Carps, barbels and other cyprinids",other fw fish
Albulichthys albuloides,,"Carps, barbels and other cyprinids",other fw fish
Catla catla,Catla,"Carps, barbels and other cyprinids",other fw fish
Catlocarpio siamensis,Giant barb,"Carps, barbels and other cyprinids",other fw fish
Chagunius chagunio,,"Carps, barbels and other cyprinids",other fw fish
Chela cachius,,"Carps, barbels and other cyprinids",other fw fish
Chela laubuca,Indian glass barb,"Carps, barbels and other cyprinids",other fw fish
Crossocheilus latius,,"Carps, barbels and other cyprinids",other fw fish
Ctenopharyngodon idellus,Grass carp(=White amur),"Carps, barbels and other cyprinids",other fw fish
Cyclocheilichthys enoplos,,"Carps, barbels and other cyprinids",other fw fish
Cyclocheilichthys apogon,Beardless barb,"Carps, barbels and other cyprinids",other fw fish
Cyclocheilichthys dumerilii,,"Carps, barbels and other cyprinids",other fw fish
Cyclocheilichthys armatus,,"Carps, barbels and other cyprinids",other fw fish
Danio aequipinnatus,Giant danio,"Carps, barbels and other cyprinids",other fw fish
Danio dangila,,"Carps, barbels and other cyprinids",other fw fish
Danio devario,Sind danio,"Carps, barbels and other cyprinids",other fw fish
Danio rerio,Zebra danio,"Carps, barbels and other cyprinids",other fw fish
Danio frankei,Leopard danio,"Carps, barbels and other cyprinids",other fw fish
Alburnoides bipunctatus,Schneider,"Carps, barbels and other cyprinids",other fw fish
Gila nigrescens,Chihuahua chub,"Carps, barbels and other cyprinids",other fw fish
Gila atraria,Utah chub,"Carps, barbels and other cyprinids",other fw fish
Gila bicolor,Tui chub,"Carps, barbels and other cyprinids",other fw fish
Gila cypha,Humpback chub,"Carps, barbels and other cyprinids",other fw fish
Gila elegans,Bonytail,"Carps, barbels and other cyprinids",other fw fish
Gila robusta,Roundtail chub,"Carps, barbels and other cyprinids",other fw fish
Hampala dispar,,"Carps, barbels and other cyprinids",other fw fish
Hampala macrolepidota,Hampala barb,"Carps, barbels and other cyprinids",other fw fish
Hampala salweenensis,,"Carps, barbels and other cyprinids",other fw fish
Hypophthalmichthys molitrix,Silver carp,"Carps, barbels and other cyprinids",other fw fish
Hypophthalmichthys nobilis,Bighead carp,"Carps, barbels and other cyprinids",other fw fish
Hypophthalmichthys spp,"Silver, bighead carps nei","Carps, barbels and other cyprinids",other fw fish
Labiobarbus leptocheilus,,"Carps, barbels and other cyprinids",other fw fish
Labiobarbus festivus,Signal barb,"Carps, barbels and other cyprinids",other fw fish
Labiobarbus fasciatus,,"Carps, barbels and other cyprinids",other fw fish
Labiobarbus ocellatus,,"Carps, barbels and other cyprinids",other fw fish
Labiobarbus siamensis,,"Carps, barbels and other cyprinids",other fw fish
Amblyrhynchichthys truncatus,,"Carps, barbels and other cyprinids",other fw fish
Anabarilius polylepis,,"Carps, barbels and other cyprinids",other fw fish
Anabarilius grahami,Kanglang fish,"Carps, barbels and other cyprinids",other fw fish
Notemigonus crysoleucas,Golden shiner,"Carps, barbels and other cyprinids",other fw fish
Osteochilus hasselti,Nilem carp,"Carps, barbels and other cyprinids",other fw fish
Osteochilus melanopleurus,,"Carps, barbels and other cyprinids",other fw fish
Osteochilus spilurus,,"Carps, barbels and other cyprinids",other fw fish
Pogonichthys macrolepidotus,Splittail,"Carps, barbels and other cyprinids",other fw fish
Probarbus jullieni,Isok barb,"Carps, barbels and other cyprinids",other fw fish
Ptychocheilus grandis,Sacramento squawfish,"Carps, barbels and other cyprinids",other fw fish
Rasbora daniconius,Slender rasbora,"Carps, barbels and other cyprinids",other fw fish
Rasbora elanga,,"Carps, barbels and other cyprinids",other fw fish
Rasbora heteromorpha,Harlequin rasbora,"Carps, barbels and other cyprinids",other fw fish
Rasbora rasbora,Gangetic scissortail rasbora,"Carps, barbels and other cyprinids",other fw fish
Rasbora argyrotaenia,Silver rasbora,"Carps, barbels and other cyprinids",other fw fish
Rasbora einthovenii,Brilliant rasbora,"Carps, barbels and other cyprinids",other fw fish
Rasbora elegans,Twospot rasbora,"Carps, barbels and other cyprinids",other fw fish
Rasbora tawarensis,,"Carps, barbels and other cyprinids",other fw fish
Thynnichthys sandkhol,,"Carps, barbels and other cyprinids",other fw fish
Thynnichthys thynnoides,,"Carps, barbels and other cyprinids",other fw fish
Thynnichthys vaillanti,,"Carps, barbels and other cyprinids",other fw fish
Tor tambroides,Thai mahseer,"Carps, barbels and other cyprinids",other fw fish
Tor putitora,Putitor mahseer,"Carps, barbels and other cyprinids",other fw fish
Tor tor,Tor barb,"Carps, barbels and other cyprinids",other fw fish
Tor khudree,,"Carps, barbels and other cyprinids",other fw fish
Tor douronensis,Semah mahseer,"Carps, barbels and other cyprinids",other fw fish
Tor soro,,"Carps, barbels and other cyprinids",other fw fish
Tor tambra,,"Carps, barbels and other cyprinids",other fw fish
Barilius barila,,"Carps, barbels and other cyprinids",other fw fish
Barilius barna,,"Carps, barbels and other cyprinids",other fw fish
Barilius bola,Trout barb,"Carps, barbels and other cyprinids",other fw fish
Barilius shacra,,"Carps, barbels and other cyprinids",other fw fish
Barilius tileo,,"Carps, barbels and other cyprinids",other fw fish
Barilius vagra,,"Carps, barbels and other cyprinids",other fw fish
Barilius bakeri,,"Carps, barbels and other cyprinids",other fw fish
Barilius bendelisis,,"Carps, barbels and other cyprinids",other fw fish
Brachydanio acuticephala,,"Carps, barbels and other cyprinids",other fw fish
Notropis atherinoides,Emerald shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis bairdi,Red River shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis boops,Bigeye shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis dorsalis,Bigmouth shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis girardi,Arkansas River shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis heterodon,Blackchin shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis heterolepis,Blacknose shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis hudsonius,Spottail shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis longirostris,Longnose shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis lutipinnis,Yellowfin shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis nubilus,Ozark minnow,"Carps, barbels and other cyprinids",other fw fish
Notropis rubellus,Rosyface shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis rupestris,Bedrock shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis signipinnis,Flagfin shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis stramineus,Sand shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis texanus,Weed shiner,"Carps, barbels and other cyprinids",other fw fish
Notropis volucellus,Mimic shiner,"Carps, barbels and other cyprinids",other fw fish
Hemibarbus labeo,Barbel steed,"Carps, barbels and other cyprinids",other fw fish
Hemibarbus maculatus,Spotted steed,"Carps, barbels and other cyprinids",other fw fish
Rohtee ogilbii,Vatani rohtee,"Carps, barbels and other cyprinids",other fw fish
Amblypharyngodon microlepis,,"Carps, barbels and other cyprinids",other fw fish
Amblypharyngodon mola,Mola carplet,"Carps, barbels and other cyprinids",other fw fish
Amblypharyngodon melettinus,Attentive carplet,"Carps, barbels and other cyprinids",other fw fish
Rastrineobola argentea,Silver cyprinid,"Carps, barbels and other cyprinids",other fw fish
Acanthobrama lissneri,,"Carps, barbels and other cyprinids",other fw fish
Acanthobrama terraesanctae,Kinneret bleak,"Carps, barbels and other cyprinids",other fw fish
Pimephales promelas,Fathead minnow,"Carps, barbels and other cyprinids",other fw fish
Hesperoleucus symmetricus,California roach,"Carps, barbels and other cyprinids",other fw fish
Parabramis pekinensis,White amur bream,"Carps, barbels and other cyprinids",other fw fish
Squaliobarbus curriculus,Barbel chub,"Carps, barbels and other cyprinids",other fw fish
Culter alburnus,,"Carps, barbels and other cyprinids",other fw fish
Zacco platypus,Freshwater minnow,"Carps, barbels and other cyprinids",other fw fish
Zacco taliensis,,"Carps, barbels and other cyprinids",other fw fish
Anaecypris hispanica,,"Carps, barbels and other cyprinids",other fw fish
Garra dembeensis,,"Carps, barbels and other cyprinids",other fw fish
Garra ghorensis,,"Carps, barbels and other cyprinids",other fw fish
Garra gotyla,,"Carps, barbels and other cyprinids",other fw fish
Garra lamta,,"Carps, barbels and other cyprinids",other fw fish
Garra mullya,,"Carps, barbels and other cyprinids",other fw fish
Garra rufa,,"Carps, barbels and other cyprinids",other fw fish
Garra tibanica,,"Carps, barbels and other cyprinids",other fw fish
Opsariichthys bidens,,"Carps, barbels and other cyprinids",other fw fish
Pseudogobio esocinus,,"Carps, barbels and other cyprinids",other fw fish
Rhinichthys atratulus,Blacknose dace,"Carps, barbels and other cyprinids",other fw fish
Rhinichthys cataractae,Longnose dace,"Carps, barbels and other cyprinids",other fw fish
Rhinichthys osculus,Speckled dace,"Carps, barbels and other cyprinids",other fw fish
Nocomis biguttatus,Hornyhead chub,"Carps, barbels and other cyprinids",other fw fish
Nocomis leptocephalus,Bluehead chub,"Carps, barbels and other cyprinids",other fw fish
Nocomis micropogon,River chub,"Carps, barbels and other cyprinids",other fw fish
Cyprinella alvarezdelvillari,,"Carps, barbels and other cyprinids",other fw fish
Cyprinella analostana,Satinfin shiner,"Carps, barbels and other cyprinids",other fw fish
Cyprinella callistia,Alabama shiner,"Carps, barbels and other cyprinids",other fw fish
Cyprinella camura,Bluntface shiner,"Carps, barbels and other cyprinids",other fw fish
Cyprinella lutrensis,Red shiner,"Carps, barbels and other cyprinids",other fw fish
Cyprinella proserpina,Proserpine shiner,"Carps, barbels and other cyprinids",other fw fish
Cyprinella spiloptera,Spotfin shiner,"Carps, barbels and other cyprinids",other fw fish
Cyprinella venusta,Blacktail shiner,"Carps, barbels and other cyprinids",other fw fish
Acheilognathus limbatus,Oily bitterling,"Carps, barbels and other cyprinids",other fw fish
Acheilognathus melanogaster,,"Carps, barbels and other cyprinids",other fw fish
Acheilognathus rhombeus,,"Carps, barbels and other cyprinids",other fw fish
Acheilognathus tabira,,"Carps, barbels and other cyprinids",other fw fish
Aphyocypris chinensis,Chinese bleak,"Carps, barbels and other cyprinids",other fw fish
Hybognathus placitus,Plains minnow,"Carps, barbels and other cyprinids",other fw fish
Chelaethiops bibie,,"Carps, barbels and other cyprinids",other fw fish
Dionda diaboli,Devils River minnow,"Carps, barbels and other cyprinids",other fw fish
Dionda episcopa,Roundnose minnow,"Carps, barbels and other cyprinids",other fw fish
Aspiolucius esocinus,Pike asp,"Carps, barbels and other cyprinids",other fw fish
Vimba vimba,Vimba bream,"Carps, barbels and other cyprinids",other fw fish
Vimba melanops,Macedonian vimba,"Carps, barbels and other cyprinids",other fw fish
Couesius plumbeus,Lake chub,"Carps, barbels and other cyprinids",other fw fish
Semotilus atromaculatus,Creek chub,"Carps, barbels and other cyprinids",other fw fish
Pelecus cultratus,Sichel,"Carps, barbels and other cyprinids",other fw fish
Sarcocheilichthys nigripinnis,Rainbow gudgeon,"Carps, barbels and other cyprinids",other fw fish
Typhlogarra widdowsoni,Iraq blind barb,"Carps, barbels and other cyprinids",other fw fish
Tanichthys albonubes,White cloud mountain minnow,"Carps, barbels and other cyprinids",other fw fish
Campostoma anomalum,Central stoneroller,"Carps, barbels and other cyprinids",other fw fish
Campostoma oligolepis,Largescale stoneroller,"Carps, barbels and other cyprinids",other fw fish
Aulopyge huegelii,Dalmatian barbelgudgeon,"Carps, barbels and other cyprinids",other fw fish
Orthodon microlepidotus,Sacramento blackfish,"Carps, barbels and other cyprinids",other fw fish
Lavinia exilicauda,Hitch,"Carps, barbels and other cyprinids",other fw fish
Plagopterus argentissimus,Woundfin,"Carps, barbels and other cyprinids",other fw fish
Iotichthys phlegethontis,Least chub,"Carps, barbels and other cyprinids",other fw fish
Phenacobius catostomus,Riffle minnow,"Carps, barbels and other cyprinids",other fw fish
Evarra bustamantei,,"Carps, barbels and other cyprinids",other fw fish
Aspius aspius,Asp,"Carps, barbels and other cyprinids",other fw fish
Clinostomus elongatus,Redside dace,"Carps, barbels and other cyprinids",other fw fish
Balantiocheilos melanopterus,Tricolor sharkminnow,"Carps, barbels and other cyprinids",other fw fish
Moroco steindachneri,,"Carps, barbels and other cyprinids",other fw fish
Mandibularca resinus,,"Carps, barbels and other cyprinids",other fw fish
Chalcalburnus chalcoides,Danube bleak,"Carps, barbels and other cyprinids",other fw fish
Chalcalburnus tarichi,Tarek,"Carps, barbels and other cyprinids",other fw fish
Acanthorhodeus asmussii,Russian bitterling,"Carps, barbels and other cyprinids",other fw fish
Pseudorasbora parva,Stone moroko,"Carps, barbels and other cyprinids",other fw fish
Bangana behri,,"Carps, barbels and other cyprinids",other fw fish
Bangana yunnanensis,,"Carps, barbels and other cyprinids",other fw fish
Bangana dero,Kalabans,"Carps, barbels and other cyprinids",other fw fish
Barbichthys nitidus,,"Carps, barbels and other cyprinids",other fw fish
Barbodes balleroides,,"Carps, barbels and other cyprinids",other fw fish
Barbodes platysoma,,"Carps, barbels and other cyprinids",other fw fish
Leptobarbus hoeveni,Hoven's carp,"Carps, barbels and other cyprinids",other fw fish
Acrocheilus alutaceus,Chiselmouth,"Carps, barbels and other cyprinids",other fw fish
Hemiculter leucisculus,Sharpbelly,"Carps, barbels and other cyprinids",other fw fish
Barboides gracilis,,"Carps, barbels and other cyprinids",other fw fish
Barbopsis devecchii,Somalian blind barb,"Carps, barbels and other cyprinids",other fw fish
Tanakia tanago,Tokyo bitterling,"Carps, barbels and other cyprinids",other fw fish
Biwia zezera,,"Carps, barbels and other cyprinids",other fw fish
Pseudaspius leptocephalus,Redfin,"Carps, barbels and other cyprinids",other fw fish
Boraras brigittae,,"Carps, barbels and other cyprinids",other fw fish
Caecobarbus geertsii,Congo blind barb,"Carps, barbels and other cyprinids",other fw fish
Caecocypris basimi,,"Carps, barbels and other cyprinids",other fw fish
Mylopharyngodon piceus,Black carp,"Carps, barbels and other cyprinids",other fw fish
Capoeta capoeta,Seven khramulya,"Carps, barbels and other cyprinids",other fw fish
Capoeta damascina,,"Carps, barbels and other cyprinids",other fw fish
Luxilus chrysocephalus,Striped shiner,"Carps, barbels and other cyprinids",other fw fish
Luxilus cornutus,Common shiner,"Carps, barbels and other cyprinids",other fw fish
Oregonichthys crameri,Oregon chub,"Carps, barbels and other cyprinids",other fw fish
Gnathopogon caerulescens,,"Carps, barbels and other cyprinids",other fw fish
Gnathopogon elongatus,,"Carps, barbels and other cyprinids",other fw fish
Megalobrama amblycephala,Wuchang bream,"Carps, barbels and other cyprinids",other fw fish
Megalobrama terminalis,Black Amur bream,"Carps, barbels and other cyprinids",other fw fish
Mylocheilus caurinus,Peamouth,"Carps, barbels and other cyprinids",other fw fish
Lepidomeda vittata,Little Colorado spinedace,"Carps, barbels and other cyprinids",other fw fish
Diptychus maculatus,Scaly osman,"Carps, barbels and other cyprinids",other fw fish
Ptychobarbus conirostris,,"Carps, barbels and other cyprinids",other fw fish
Schizopygopsis pylzovi,,"Carps, barbels and other cyprinids",other fw fish
Tiaroga cobitis,Loach minnow,"Carps, barbels and other cyprinids",other fw fish
Puntius binotatus,Spotted barb,"Carps, barbels and other cyprinids",other fw fish
Puntius amphibius,,"Carps, barbels and other cyprinids",other fw fish
Puntius arulius,Arulius barb,"Carps, barbels and other cyprinids",other fw fish
Puntius conchonius,Rosy barb,"Carps, barbels and other cyprinids",other fw fish
Puntius filamentosus,Blackspot barb,"Carps, barbels and other cyprinids",other fw fish
Puntius orphoides,,"Carps, barbels and other cyprinids",other fw fish
Puntius sophore,Pool barb,"Carps, barbels and other cyprinids",other fw fish
Puntius tetrazona,Sumatra barb,"Carps, barbels and other cyprinids",other fw fish
Puntius ticto,Ticto barb,"Carps, barbels and other cyprinids",other fw fish
Puntius lateristriga,Spanner barb,"Carps, barbels and other cyprinids",other fw fish
Puntius spp,Asian barbs nei,"Carps, barbels and other cyprinids",other fw fish
Capoetobrama kuschakewitschi,Sharpray,"Carps, barbels and other cyprinids",other fw fish
Carassioides cantonensis,,"Carps, barbels and other cyprinids",other fw fish
Cephalakompsus pachycheilus,,"Carps, barbels and other cyprinids",other fw fish
Chanodichthys dabryi,Humpback,"Carps, barbels and other cyprinids",other fw fish
Chanodichthys erythropterus,Predatory carp,"Carps, barbels and other cyprinids",other fw fish
Chanodichthys mongolicus,Mongolian redfin,"Carps, barbels and other cyprinids",other fw fish
Coptostomabarbus bellcrossi,,"Carps, barbels and other cyprinids",other fw fish
Coreoleuciscus splendidus,,"Carps, barbels and other cyprinids",other fw fish
Cosmochilus cardinalis,,"Carps, barbels and other cyprinids",other fw fish
Cyprinion watsoni,,"Carps, barbels and other cyprinids",other fw fish
Danionella translucida,,"Carps, barbels and other cyprinids",other fw fish
Discherodontus ashmeadi,,"Carps, barbels and other cyprinids",other fw fish
Distoechodon tumirostris,,"Carps, barbels and other cyprinids",other fw fish
Eirmotus octozona,,"Carps, barbels and other cyprinids",other fw fish
Elopichthys bambusa,Yellowcheek,"Carps, barbels and other cyprinids",other fw fish
Engraulicypris sardella,Lake Malawi sardine,"Carps, barbels and other cyprinids",other fw fish
Epalzeorhynchos bicolor,Redtail sharkminnor,"Carps, barbels and other cyprinids",other fw fish
Epalzeorhynchos kalopterus,Flying fox,"Carps, barbels and other cyprinids",other fw fish
Eremichthys acros,Desert dace,"Carps, barbels and other cyprinids",other fw fish
Erimystax dissimilis,Streamline chub,"Carps, barbels and other cyprinids",other fw fish
Esomus danricus,Flying barb,"Carps, barbels and other cyprinids",other fw fish
Eupallasella perenurus,Lake minnow,"Carps, barbels and other cyprinids",other fw fish
Exoglossum maxillingua,Cutlips minnow,"Carps, barbels and other cyprinids",other fw fish
Gobiobotia brevibarba,,"Carps, barbels and other cyprinids",other fw fish
Gymnocypris biswasi,,"Carps, barbels and other cyprinids",other fw fish
